phase,acc,loss,valacc,valloss,nolabel
1,0.206914250106,2.24183638583,0.248333333333,2.00620359294,12000
2,0.237782747377,1.91576559183,0.251333333413,1.78935680135,12000
3,0.278256406499,1.79157830729,0.279000000318,1.72735452938,11732
4,0.335779288508,1.67827254144,0.334000000238,1.71710250854,9841
5,0.446317853844,1.45739283958,0.410000000715,1.5517217474,7104
6,0.527094527135,1.29747637813,0.437333334128,1.50818776035,4526
7,0.568203912313,1.22122037676,0.429,1.59895924918,2156
8,0.58347702067,1.18509273954,0.470000000636,1.50865181478,1217
9,0.588994509596,1.16384340519,0.45,1.59001559003,298
10,0.593301152679,1.14716949706,0.471000000636,1.44936244837,165
11,0.601438764328,1.12692096846,0.477666666667,1.37955649821,132
12,0.600638602187,1.12127121007,0.492333333174,1.27567567539,113
13,0.605193075852,1.11101791175,0.481666666349,1.367961085,107
14,0.597799271645,1.12744874865,0.465333333492,1.49404938444,64
15,0.609679754366,1.09904155851,0.495666666667,1.34272085953,53
16,0.612462838404,1.08764850737,0.503333333174,1.34289866734,39
17,0.614238346004,1.0811660313,0.507333333969,1.25729015827,38
18,0.615513643134,1.07322907392,0.492000000954,1.31096805032,29
19,0.618116224668,1.06758476602,0.470666667144,1.50189947383,25
20,0.620154434173,1.06027888745,0.511,1.27660497856,23
21,0.620539718507,1.05446060904,0.526666667144,1.24034643571,21
22,0.6232257058,1.05140054285,0.490333333174,1.36606886737,18
23,0.623988614026,1.04729328369,0.523333334764,1.21331544654,18
24,0.624632001755,1.03967307413,0.522333333333,1.25752972841,17
25,0.628382593749,1.03275928268,0.499000000318,1.31036283716,13
26,0.629171865253,1.03152914264,0.531333333969,1.2274245189,11
27,0.628504035199,1.02682836562,0.536333333015,1.25477282047,10
28,0.630558100638,1.0230118765,0.517666666826,1.25623300791,10
29,0.631376829897,1.02361419741,0.502666666985,1.26281199869,8
30,0.631898013687,1.01656189869,0.527333333174,1.22818362761,8
31,0.633515915838,1.00855266695,0.513666666508,1.28510524336,7
32,0.63465361984,1.00737164578,0.51366666762,1.26050165081,5
33,0.633556837692,1.00626768977,0.523333333015,1.25738784599,4
34,0.637793587405,1.0022990361,0.504333333492,1.29022830423,3
35,0.637917592577,0.996210629725,0.510333333333,1.30420429484,3
36,0.64111409969,0.991353969102,0.544333333015,1.17654990323,2
37,0.637632291799,0.992281569018,0.538,1.17969075044,2
38,0.640341473878,0.98499159023,0.506333333651,1.26765976461,2
39,0.639250004833,0.986298227779,0.526000000477,1.23567863735,2
40,0.64404467222,0.980763669386,0.536666666349,1.21735930252,2
41,0.642972693709,0.981808997527,0.531333333015,1.20887142309,2
42,0.642660845408,0.979790340161,0.531,1.21275752338,2
43,0.644220086794,0.972054077807,0.511000000954,1.25433200963,2
44,0.646208119608,0.97424294287,0.544333333969,1.16718861024,2
45,0.64640302486,0.970797270143,0.528,1.19779834859,2
46,0.648196152518,0.966436136929,0.522999999841,1.21523720932,2
47,0.645837799864,0.961941586589,0.528666666349,1.19556014522,1
48,0.648203009291,0.962215806765,0.542000000477,1.18660441001,1
49,0.647209012328,0.959673087632,0.516,1.25697443342,1
50,0.648417400837,0.957252284004,0.534666667461,1.19386305332,1
51,0.650522335582,0.955810875962,0.53133333381,1.2106319561,1
52,0.648475871195,0.95453829556,0.525999999841,1.24844985994,1
53,0.651282451145,0.94898437416,0.522666666508,1.21327310848,1
54,0.653543307082,0.940534562037,0.533666667302,1.23794355853,1
55,0.651457862201,0.947734035464,0.522999999841,1.23790464322,1
56,0.652217977694,0.950303358426,0.531666666667,1.22195438894,1
57,0.65457628433,0.940030675607,0.561666667144,1.16023270226,1
58,0.653933109809,0.940248286723,0.533999999682,1.21276685492,1
59,0.658708193798,0.933037593074,0.539999999841,1.19378888988,1
60,0.656193965877,0.933911825496,0.537999999841,1.21132476123,1
61,0.655433850393,0.93307212869,0.543333333333,1.2096986235,1
62,0.656466827869,0.933225253538,0.550000000477,1.1908563048,1
63,0.653855149341,0.935729714309,0.536333333333,1.1803416036,1
64,0.65861074288,0.927255011241,0.522999999682,1.20804963525,1
65,0.660208934349,0.920724657753,0.542333334287,1.17880134535,1
66,0.658766664059,0.925325666036,0.536333333174,1.17176511955,1
67,0.660208934349,0.923390247281,0.541666666508,1.18317283344,1
68,0.659195447039,0.921049223822,0.537333333015,1.19701111285,1
69,0.660559756726,0.919685369448,0.548000000636,1.18634128888,1
70,0.661124970802,0.916884839386,0.534999999841,1.24210098823,1
71,0.659936072385,0.917527665099,0.529666666508,1.20409953181,1
72,0.661631714362,0.912148787188,0.533666666349,1.18622073555,1
73,0.663190925313,0.910862823979,0.533666666349,1.21287063201,1
74,0.662840102996,0.910548313945,0.534999999841,1.19260871363,1
75,0.663541747917,0.905983300176,0.534999999841,1.19540185452,1
76,0.663424807066,0.906804270055,0.517666666349,1.2244701225,1
77,0.664418804076,0.902096964024,0.541333334287,1.20712058655,1
78,0.66467217587,0.902319538191,0.535999999682,1.22704290517,1
79,0.665334840664,0.901812651988,0.548666667302,1.21069596418,1
80,0.668004989564,0.898110385894,0.556666666349,1.15944150607,1
81,0.664964527967,0.897603413465,0.53466666762,1.21953679196,1
82,0.667751617691,0.898948526098,0.533000000954,1.25100332228,1
83,0.667654167084,0.892814425855,0.557333333969,1.14408547719,1
84,0.66779059805,0.893808043211,0.544,1.21949909306,1
85,0.666484758675,0.890504282802,0.534000000954,1.28027810113,1
86,0.669037966826,0.892912190809,0.552333333015,1.17221215645,1
87,0.669798082161,0.891824432654,0.546666666667,1.19235382907,1
88,0.670655648233,0.888150208857,0.562000000636,1.14364462392,1
89,0.672643642284,0.887180533386,0.553666667302,1.19110679785,1
90,0.670714118623,0.885640854925,0.537999999841,1.20890903091,1
91,0.668706634434,0.882674415067,0.535,1.21461078231,1
92,0.670948000233,0.882186821089,0.559000000636,1.13931419516,0
93,0.673059307294,0.880999423207,0.548666666349,1.19742324368,0
